"","match_id","league","match_date","home_team","home_score","away_team","away_score","avg_odds_home_win","avg_odds_draw","avg_odds_away_win","max_odds_home_win","max_odds_draw","max_odds_away_win","top_bookie_home_win","top_bookie_draw","top_bookie_away_win","n_odds_home_win","n_odds_draw","n_odds_away_win"
"207187",523791,"USA: MLS","2011-06-11","New York Red Bulls",2,"New England Revoluti",1,1.4774,3.8722,6.2856,1.55,4.34,7.6,"Interwetten","Pinnacle Sports","Pinnacle Sports",27,27,27
"207188",523792,"USA: MLS","2011-06-11","Philadelphia Union",1,"Real Salt Lake",1,2.5443,3.0768,2.6714,2.8,3.25,2.89,"William Hill","bet365","Pinnacle Sports",28,28,28
"207348",524031,"USA: MLS","2011-06-12","DC United",2,"San Jose Earthquakes",4,1.8859,3.3352,3.7896,2,3.71,4.37,"888sport","Pinnacle Sports","Pinnacle Sports",27,27,27
"207349",524032,"USA: MLS","2011-06-12","Houston Dynamo",2,"Chivas USA",1,1.91,3.2656,3.7885,2.06,3.45,4.2,"Pinnacle Sports","youwin","bet365",27,27,27
"207350",524033,"USA: MLS","2011-06-12","Los Angeles Galaxy",2,"Toronto FC",2,1.3671,4.2461,7.9082,1.43,4.65,9.52,"Pinnacle Sports","Pinnacle Sports","Pinnacle Sports",28,28,28
"207351",524034,"USA: MLS","2011-06-12","Portland Timbers",0,"Colorado Rapids",1,2.2454,3.1354,3.0532,2.4,3.25,3.4,"188BET","188BET","Pinnacle Sports",28,28,28
"207352",524035,"USA: MLS","2011-06-12","Seattle Sounders",2,"Vancouver Whitecaps",2,1.5782,3.555,5.6164,1.65,3.89,6.69,"William Hill","Pinnacle Sports","Pinnacle Sports",28,28,28
"207353",524036,"USA: MLS","2011-06-12","Columbus Crew",0,"Chicago Fire",1,1.9725,3.1868,3.6582,2.1,3.39,4.15,"bet365","Pinnacle Sports","Pinnacle Sports",28,28,28
"207411",524105,"USA: MLS","2011-06-13","FC Dallas",1,"Sporting Kansas City",4,1.6921,3.335,4.9625,1.76,3.5,6.42,"12BET","Expekt","Pinnacle Sports",28,28,28
"207565",524348,"USA: MLS","2011-06-16","New England Revoluti",0,"Toronto FC",0,1.8654,3.3075,3.9082,1.94,3.52,4.55,"12BET","Pinnacle Sports","Pinnacle Sports",28,28,28
"207764",524620,"USA: MLS","2011-06-18","Sporting Kansas City",1,"San Jose Earthquakes",0,1.8711,3.325,3.8636,1.93,3.6,4.5,"Pinnacle Sports","Pinnacle Sports","Pinnacle Sports",28,28,28
"207919",524812,"USA: MLS","2011-06-19","Toronto FC",0,"Seattle Sounders",1,2.9746,3.12,2.2835,3.53,3.21,2.4,"Pinnacle Sports","Pinnacle Sports","888sport",26,26,26
"207920",524813,"USA: MLS","2011-06-19","New England Revoluti",1,"Chicago Fire",1,2.4904,3.1171,2.6979,2.77,3.32,2.85,"Pinnacle Sports","Pinnacle Sports","Expekt",28,28,28
"207921",524814,"USA: MLS","2011-06-19","Houston Dynamo",0,"Columbus Crew",2,1.965,3.2061,3.6739,2.04,3.36,4.28,"188BET","Pinnacle Sports","Pinnacle Sports",28,28,28
"207922",524815,"USA: MLS","2011-06-19","Colorado Rapids",1,"Los Angeles Galaxy",3,2.2975,3.125,2.9736,2.45,3.35,3.63,"Interwetten","Pinnacle Sports","Pinnacle Sports",28,28,28
"207923",524816,"USA: MLS","2011-06-19","Real Salt Lake",1,"DC United",1,1.5861,3.5625,5.485,1.67,3.95,6.5,"Ladbrokes","Pinnacle Sports","Pinnacle Sports",28,28,28
"207924",524817,"USA: MLS","2011-06-19","Vancouver Whitecaps",1,"Philadelphia Union",0,2.305,3.1543,2.9329,2.4,3.36,3.27,"Betsson","Pinnacle Sports","Pinnacle Sports",28,28,28
"207925",524818,"USA: MLS","2011-06-19","Chivas USA",1,"FC Dallas",2,2.4618,3.1186,2.7261,2.76,3.23,2.9,"Pinnacle Sports","Pinnacle Sports","Tipico",28,28,28
"207982",524885,"USA: MLS","2011-06-20","Portland Timbers",3,"New York Red Bulls",3,2.697,3.1311,2.4722,2.9,3.36,2.65,"188BET","Pinnacle Sports","Pinnacle Sports",27,27,27
"208201",525146,"USA: MLS","2011-06-23","Philadelphia Union",0,"Sporting Kansas City",0,2.1644,3.1607,3.2059,2.44,3.31,4.75,"Pinnacle Sports","Pinnacle Sports","bet365",27,27,27
"208202",525147,"USA: MLS","2011-06-23","Chicago Fire",0,"Real Salt Lake",0,2.4061,3.1261,2.7857,2.5,3.29,3.13,"Betclic","Pinnacle Sports","Pinnacle Sports",28,28,28
"208265",525215,"USA: MLS","2011-06-24","Seattle Sounders",4,"New York Red Bulls",2,2.0218,3.2243,3.4704,2.16,3.5,3.8,"188BET","BetVictor","William Hill",28,28,28
"208550",525563,"USA: MLS","2011-06-26","DC United",2,"Houston Dynamo",2,2.2411,3.1796,3.0111,2.4,3.37,3.79,"Expekt","Pinnacle Sports","Pinnacle Sports",28,28,28
"208551",525564,"USA: MLS","2011-06-26","San Jose Earthquakes",0,"Los Angeles Galaxy",0,2.7282,3.1707,2.415,2.9,3.55,2.67,"Betway","Pinnacle Sports","Pinnacle Sports",28,28,28
"208552",525565,"USA: MLS","2011-06-26","Philadelphia Union",3,"Chivas USA",2,1.8838,3.2604,3.9085,2,3.45,4.8,"188BET","Pinnacle Sports","Pinnacle Sports",26,26,26
"208553",525566,"USA: MLS","2011-06-26","FC Dallas",4,"Portland Timbers",0,1.6168,3.5143,5.2629,1.78,3.8,6,"Pinnacle Sports","William Hill","William Hill",28,28,28
"208554",525567,"USA: MLS","2011-06-26","Sporting Kansas City",2,"Vancouver Whitecaps",1,1.5989,3.5471,5.3493,1.68,3.84,6.06,"Pinnacle Sports","Pinnacle Sports","Pinnacle Sports",28,28,28
"208555",525568,"USA: MLS","2011-06-26","Real Salt Lake",3,"Toronto FC",1,1.4186,3.9471,7.3432,1.5,4.28,9.09,"bet365","Pinnacle Sports","Pinnacle Sports",28,28,28
"208556",525569,"USA: MLS","2011-06-26","Chicago Fire",1,"New York Red Bulls",1,2.3986,3.1214,2.8029,2.59,3.38,2.95,"Pinnacle Sports","Pinnacle Sports","Pinnacle Sports",28,28,28
"208557",525570,"USA: MLS","2011-06-26","Seattle Sounders",2,"New England Revoluti",1,1.5029,3.7304,6.2168,1.6,4,7.06,"Pinnacle Sports","Betsafe","Pinnacle Sports",28,28,28
"208627",525649,"USA: MLS","2011-06-27","Columbus Crew",4,"Colorado Rapids",1,2.0061,3.22,3.4932,2.15,3.49,3.75,"Pinnacle Sports","Pinnacle Sports","Betclic",28,28,28
"208904",525978,"USA: MLS","2011-06-30","Toronto FC",1,"Vancouver Whitecaps",0,2.1586,3.1714,3.1979,2.29,3.46,3.5,"188BET","Pinnacle Sports","Interwetten",28,28,28
"209261",526443,"USA: MLS","2011-07-03","DC United",2,"Philadelphia Union",2,2.1539,3.1736,3.2,2.29,3.35,3.51,"SBOBET","Pinnacle Sports","Pinnacle Sports",28,28,28
"209262",526444,"USA: MLS","2011-07-03","FC Dallas",2,"Columbus Crew",0,1.8425,3.3179,4.0443,1.96,3.57,4.49,"188BET","Pinnacle Sports","Pinnacle Sports",28,28,28
"209263",526445,"USA: MLS","2011-07-03","Chivas USA",1,"Chicago Fire",1,2.3332,3.1246,2.9064,2.5,3.36,3.31,"William Hill","Pinnacle Sports","Pinnacle Sports",28,28,28
"209264",526446,"USA: MLS","2011-07-03","San Jose Earthquakes",2,"New York Red Bulls",2,2.4839,3.1314,2.6975,2.7,3.4,2.94,"Tipico","Pinnacle Sports","Pinnacle Sports",28,28,28
"209265",526447,"USA: MLS","2011-07-03","Portland Timbers",1,"Sporting Kansas City",2,2.3089,3.22,2.8632,2.5,3.59,3,"bet365","Pinnacle Sports","888sport",28,28,28
"209330",526517,"USA: MLS","2011-07-04","Colorado Rapids",0,"Houston Dynamo",0,1.9829,3.165,3.6714,2.22,3.4,4,"Pinnacle Sports","Coral","Expekt",28,28,28
"209362",526558,"USA: MLS","2011-07-05","Real Salt Lake",3,"New England Revoluti",3,1.4,4.0404,7.6575,1.49,4.4,8.75,"Pinnacle Sports","BetVictor","Unibet",28,28,28
"209363",526559,"USA: MLS","2011-07-05","Los Angeles Galaxy",0,"Seattle Sounders",0,1.8371,3.3211,4.1229,2.09,3.5,4.75,"188BET","888sport","Betway",28,28,28
"209568",526825,"USA: MLS","2011-07-07","New York Red Bulls",5,"Toronto FC",0,1.3886,4.1146,7.5018,1.45,4.8,9.4,"Expekt","Pinnacle Sports","Pinnacle Sports",28,28,28
"209569",526826,"USA: MLS","2011-07-07","Sporting Kansas City",1,"Colorado Rapids",1,1.8996,3.2504,3.8161,2.09,3.4,4.25,"12BET","Betclic","Pinnacle Sports",28,28,28
"209570",526827,"USA: MLS","2011-07-07","Vancouver Whitecaps",0,"Columbus Crew",1,2.3915,3.1196,2.7992,2.6,3.32,2.98,"Pinnacle Sports","Pinnacle Sports","Pinnacle Sports",26,26,26
"209571",526828,"USA: MLS","2011-07-07","Chivas USA",2,"San Jose Earthquakes",0,2.2061,3.1754,3.065,2.29,3.44,3.57,"888sport","Pinnacle Sports","Pinnacle Sports",28,28,28
"209955",527340,"USA: MLS","2011-07-10","New York Red Bulls",0,"DC United",1,1.5646,3.6525,5.5639,1.67,3.91,6.29,"William Hill","Pinnacle Sports","Pinnacle Sports",28,28,28
"209956",527341,"USA: MLS","2011-07-10","Sporting Kansas City",1,"Chivas USA",1,1.7414,3.3811,4.5214,1.95,3.6,5.38,"SBOBET","Tipico","Pinnacle Sports",28,28,28
"209957",527342,"USA: MLS","2011-07-10","Houston Dynamo",2,"Toronto FC",0,1.5261,3.7211,6.0382,1.62,4.13,8.19,"Coral","Pinnacle Sports","Pinnacle Sports",28,28,28
"209958",527343,"USA: MLS","2011-07-10","Colorado Rapids",2,"Vancouver Whitecaps",1,1.5893,3.5221,5.56,1.65,3.85,6.7,"bwin","Pinnacle Sports","Pinnacle Sports",28,28,28
"209959",527344,"USA: MLS","2011-07-10","Real Salt Lake",2,"FC Dallas",0,2.0963,3.1637,3.3559,2.31,3.3,3.6,"Pinnacle Sports","Expekt","Betway",27,27,27
"209960",527345,"USA: MLS","2011-07-10","Los Angeles Galaxy",2,"Chicago Fire",1,1.7257,3.3539,4.7964,2.04,3.7,5.75,"Pinnacle Sports","Interwetten","Expekt",28,28,28
"209961",527346,"USA: MLS","2011-07-10","San Jose Earthquakes",0,"Philadelphia Union",0,2.1921,3.1893,3.1068,2.38,3.41,3.33,"bet365","Pinnacle Sports","Pinnacle Sports",28,28,28
"209962",527347,"USA: MLS","2011-07-10","Portland Timbers",2,"Seattle Sounders",3,2.615,3.1514,2.5325,2.79,3.3,2.79,"Pinnacle Sports","Pinnacle Sports","Pinnacle Sports",28,28,28
"210567",528078,"USA: MLS","2011-07-16","Seattle Sounders",4,"Colorado Rapids",3,1.7868,3.3475,4.27,1.83,3.66,5.05,"Coral","Pinnacle Sports","Pinnacle Sports",28,28,28
"210795",528366,"USA: MLS","2011-07-17","Columbus Crew",0,"San Jose Earthquakes",0,1.8575,3.2596,4.0164,1.92,3.45,4.83,"12BET","Pinnacle Sports","Pinnacle Sports",28,28,28
